run_id,queue,arrival_rate,service_duration,num_agents,patience_limit,avg_wait,served,reneged
1,FIFO,0.5,1.5,1,2.5,0.9669802397076179,50,0
2,Priority,0.5,1.5,1,2.5,0.683158843888206,50,0
3,Random,0.5,1.5,1,2.5,3.806565575041112,50,0
4,FIFO,0.5,1.5,1,3.0,0.9107795235749709,50,0
5,Priority,0.5,1.5,1,3.0,1.2956667746367043,50,0
6,Random,0.5,1.5,1,3.0,1.7918623993021654,50,0
7,FIFO,0.5,1.5,1,3.5,0.9774726880582968,50,0
8,Priority,0.5,1.5,1,3.5,1.1937363559700125,50,0
9,Random,0.5,1.5,1,3.5,1.1247363497096627,50,0
10,FIFO,0.5,1.5,2,2.5,0.328180557273558,50,0
11,Priority,0.5,1.5,2,2.5,0.4394185185931044,50,0
12,Random,0.5,1.5,2,2.5,0.1382079432728748,50,0
13,FIFO,0.5,1.5,2,3.0,0.023082763304398242,50,0
14,Priority,0.5,1.5,2,3.0,0.1582049810578045,50,0
15,Random,0.5,1.5,2,3.0,0.13525241852692121,50,0
16,FIFO,0.5,1.5,2,3.5,0.010792882070207383,50,0
17,Priority,0.5,1.5,2,3.5,0.021198819714513206,50,0
18,Random,0.5,1.5,2,3.5,0.12380426115502885,50,0
19,FIFO,0.5,1.5,3,2.5,0.02133828951808937,50,0
20,Priority,0.5,1.5,3,2.5,0.005921110392217983,50,0
21,Random,0.5,1.5,3,2.5,0.05057016434782999,50,0
22,FIFO,0.5,1.5,3,3.0,0.006898477678365466,50,0
23,Priority,0.5,1.5,3,3.0,0.00870376657451473,50,0
24,Random,0.5,1.5,3,3.0,0.0338198713784669,50,0
25,FIFO,0.5,1.5,3,3.5,0.00406877842576165,50,0
26,Priority,0.5,1.5,3,3.5,0.011495711322763214,50,0
27,Random,0.5,1.5,3,3.5,0.03368070454883244,50,0
28,FIFO,0.5,2.0,1,2.5,0.8953386579687063,40,10
29,Priority,0.5,2.0,1,2.5,1.4227261902912665,42,8
30,Random,0.5,2.0,1,2.5,1.7204875727097693,37,13
31,FIFO,0.5,2.0,1,3.0,6.774248346986281,44,6
32,Priority,0.5,2.0,1,3.0,1.9555692136412008,49,1
33,Random,0.5,2.0,1,3.0,2.5985371519222067,40,10
34,FIFO,0.5,2.0,1,3.5,5.6198827976729095,48,2
35,Priority,0.5,2.0,1,3.5,4.026652433450192,47,3
36,Random,0.5,2.0,1,3.5,3.350016605113501,47,3
37,FIFO,0.5,2.0,2,2.5,0.18423837251349398,35,15
38,Priority,0.5,2.0,2,2.5,0.3033351026345643,39,11
39,Random,0.5,2.0,2,2.5,0.11517662814730571,41,9
40,FIFO,0.5,2.0,2,3.0,0.08600326258064679,47,3
41,Priority,0.5,2.0,2,3.0,0.3003724819820854,49,1
42,Random,0.5,2.0,2,3.0,0.8533843763280674,44,6
43,FIFO,0.5,2.0,2,3.5,0.5399496811746922,50,0
44,Priority,0.5,2.0,2,3.5,0.4724382468838074,47,3
45,Random,0.5,2.0,2,3.5,0.14573930352003953,47,3
